Period,District,Households,Population_total,Men_Total,Women_total,Total_Korean,Total_Kor_men,Total_Kor_Women,Total_Foreigners,Total_fore_men,Total_fore_women,Pop_per_households,Elders_above_65,.
2019,Sum,4327605,10010983,4877725,5133258,9729107,4744059,4985048,281876,133666,148210,2.25,1485272,
2019,Jongro,73947,161869,78215,83654,151290,73746,77544,10579,4469,6110,2.05,27519,
2019,Jung,62739,136488,66823,69665,126171,61910,64261,10317,4913,5404,2.01,23275,
2019,Yongsan,110126,245185,119599,125586,228670,110356,118314,16515,9243,7272,2.08,38791,
2019,Seongdong,135838,308979,150861,158118,300889,147273,153616,8090,3588,4502,2.22,43947,
2019,Gwangjin,164428,366972,176917,190055,351350,170262,181088,15622,6655,8967,2.14,47902,Nan
2019,Dongdaemun,164191,363023,178490,184533,346194,172113,174081,16829,6377,10452,2.11,59350,Nan
2019,Jungrang,181579,402024,199006,203018,397015,196959,200056,5009,2047,2962,2.19,65164,
2019,Seongbuk,192592,454744,219099,235645,442650,214437,228213,12094,4662,7432,2.3,70850,
2019,Gangbuk,144277,317695,154638,163057,313954,153235,160719,3741,1403,2338,2.18,60577,Nan
2019,Dobong,138508,335631,163961,171670,333362,163051,170311,2269,910,1359,2.41,58714,
2019,Nowon,216966,537303,259810,277493,532905,257923,274982,4398,1887,2511,2.46,80923,Nan
2019,Eunpyeong,207681,484546,233360,251186,480032,231528,248504,4514,1832,2682,2.31,80738,
2019,Seodaemun,140157,323171,153215,169956,309397,148663,160734,13774,4552,9222,2.21,52074,Nan
2019,Mapo,175023,385925,181303,204622,374035,176891,197144,11890,4412,7478,2.14,52429,
2019,Yangcheon,177256,462285,227019,235266,458165,225186,232979,4120,1833,2287,2.58,61264,
2019,Gangseo,262708,598273,289691,308582,591796,286563,305233,6477,3128,3349,2.25,84077,Nan
2019,Guro,176568,439371,219602,219769,406664,200987,205677,32707,18615,14092,2.3,65779,
2019,Geumcheon,110622,251820,128954,122866,232810,118209,114601,19010,10745,8265,2.1,37660,
2019,Yeongdeungpo,174806,400986,200986,200000,367678,182438,185240,33308,18548,14760,2.1,57872,
2019,Dongjak,180753,408912,197706,211206,395963,191976,203987,12949,5730,7219,2.19,62226,
2019,Gwanak,268559,517334,259194,258140,500094,251009,249085,17240,8185,9055,1.86,75194,Nan
2019,Seocho,173199,435107,208181,226926,430826,206039,224787,4281,2142,2139,2.49,57136,
2019,Gangnam,232981,550209,263345,286864,545169,260806,284363,5040,2539,2501,2.34,71025,
2019,Songpa ,278711,682741,330412,352329,675961,327164,348797,6780,3248,3532,2.43,87334,
2019,Gangdong,183390,440390,217338,223052,436067,215335,220732,4323,2003,2320,2.38,63452,